Player,Squad,Nation,Pos,Age,Born,Min_standard,Gls_standard,Ast_standard,Cmp_passing,Tkl_defense,Succ_possession,CrdY_misc,CrdR_misc,Season,Player_tm,Club,Position,DateOfBirth_Age,Nationality,Height,Foot,ContractExpires,MarketValue
Erling Haaland,Manchester City,,FW,24,2000,1114,7,3,2002,26,66,5,0,2023-2024,Erling Haaland,Manchester City,FW,age 24,,193.3255805400053,Right,2027-01-01,115400000.0
Kevin De Bruyne,Manchester City,,MF,33,1991,1981,1,8,799,29,8,5,0,2023-2024,Kevin De Bruyne,Manchester City,MF,age 33,,189.6190862313047,Right,2028-01-01,94800000.0
Mohamed Salah,Liverpool,,FW,32,1992,2684,6,1,1802,32,55,9,0,2023-2024,Mohamed Salah,Liverpool,FW,age 32,,172.72859991914336,Left,2026-01-01,22900000.0
Virgil van Dijk,Liverpool,,DF,33,1991,1285,4,2,2131,76,19,8,0,2023-2024,Virgil van Dijk,Liverpool,DF,age 33,,175.81601854916084,Right,2028-01-01,147500000.0
Bukayo Saka,Arsenal,,FW,23,2001,2812,6,4,2031,32,46,0,1,2023-2024,Bukayo Saka,Arsenal,FW,age 23,,185.15039551750027,Left,2028-01-01,104900000.0
Declan Rice,Arsenal,,MF,25,1999,2807,0,4,968,42,9,8,0,2023-2024,Declan Rice,Arsenal,MF,age 25,,180.314289231842,Right,2028-01-01,116500000.0
Cole Palmer,Chelsea,,MF,22,2002,3102,4,2,945,14,11,7,1,2023-2024,Cole Palmer,Chelsea,MF,age 22,,180.64705215933776,Left,2025-01-01,79900000.0
Bruno Fernandes,Manchester United,,MF,30,1994,2572,1,3,1316,19,27,6,1,2023-2024,Bruno Fernandes,Manchester United,MF,age 30,,181.3474220519075,Right,2027-01-01,158800000.0
Son Heung-min,Tottenham Hotspur,,FW,32,1992,2357,5,4,1095,13,12,4,1,2023-2024,Son Heung-min,Tottenham Hotspur,FW,age 32,,175.91655907493953,Right,2028-01-01,59700000.0
Alexander Isak,Newcastle United,,FW,25,1999,1206,7,3,1302,40,36,7,0,2023-2024,Alexander Isak,Newcastle United,FW,age 25,,172.63195199635314,Right,2027-01-01,150700000.0
James Maddison,Tottenham Hotspur,,MF,27,1997,1330,1,2,1386,21,74,9,1,2023-2024,James Maddison,Tottenham Hotspur,MF,age 27,,184.8608415939113,Right,2026-01-01,30600000.0
Ollie Watkins,Aston Villa,,FW,28,1996,1972,5,3,1063,31,40,8,0,2023-2024,Ollie Watkins,Aston Villa,FW,age 28,,177.75836684810187,Right,2025-01-01,151900000.0
Martin Odegaard,Arsenal,,MF,26,1998,3189,2,4,1029,36,55,1,0,2023-2024,Martin Odegaard,Arsenal,MF,age 26,,193.02426181218627,Left,2027-01-01,43000000.0
Rodri,Manchester City,,MF,28,1996,1485,2,2,1750,15,46,5,0,2023-2024,Rodri,Manchester City,MF,age 28,,173.84033487980147,Right,2025-01-01,65600000.0
William Saliba,Arsenal,,DF,23,2001,1643,3,1,2125,89,75,1,0,2023-2024,William Saliba,Arsenal,DF,age 23,,170.528700408411,Right,2027-01-01,38500000.0
Trent Alexander-Arnold,Liverpool,,DF,26,1998,2179,6,3,398,80,12,7,1,2023-2024,Trent Alexander-Arnold,Liverpool,DF,age 26,,171.3345483156794,Right,2025-01-01,47900000.0
Phil Foden,Manchester City,,MF,24,2000,1811,2,3,877,38,70,0,0,2023-2024,Phil Foden,Manchester City,MF,age 24,,187.0178631699877,Left,2028-01-01,114600000.0
Marcus Rashford,Manchester United,,FW,27,1997,1573,4,1,982,10,55,9,0,2023-2024,Marcus Rashford,Manchester United,FW,age 27,,182.61315592555576,Right,2026-01-01,70900000.0
Jarrod Bowen,West Ham United,,FW,27,1997,1611,7,2,1413,15,41,5,1,2023-2024,Jarrod Bowen,West Ham United,FW,age 27,,191.27829067055515,Right,2027-01-01,160000000.0
Bernardo Silva,Manchester City,,MF,30,1994,1652,2,3,2402,39,36,0,1,2023-2024,Bernardo Silva,Manchester City,MF,age 30,,175.9186217776099,Right,2025-01-01,49000000.0
