Player,Club,Position,DateOfBirth_Age,Nationality,Height,Foot,ContractExpires,MarketValue
Erling Haaland,Manchester City,FW,age 24,n/a,193.3255805400053,Right,2027-01-01,115400000.0
Kevin De Bruyne,Manchester City,MF,age 33,n/a,189.6190862313047,Right,2028-01-01,94800000.0
Mohamed Salah,Liverpool,FW,age 32,n/a,172.72859991914336,Left,2026-01-01,22900000.0
Virgil van Dijk,Liverpool,DF,age 33,n/a,175.81601854916084,Right,2028-01-01,147500000.0
Bukayo Saka,Arsenal,FW,age 23,n/a,185.15039551750027,Left,2028-01-01,104900000.0
Declan Rice,Arsenal,MF,age 25,n/a,180.314289231842,Right,2028-01-01,116500000.0
Cole Palmer,Chelsea,MF,age 22,n/a,180.64705215933776,Left,2025-01-01,79900000.0
Bruno Fernandes,Manchester United,MF,age 30,n/a,181.3474220519075,Right,2027-01-01,158800000.0
Son Heung-min,Tottenham Hotspur,FW,age 32,n/a,175.91655907493953,Right,2028-01-01,59700000.0
Alexander Isak,Newcastle United,FW,age 25,n/a,172.63195199635314,Right,2027-01-01,150700000.0
James Maddison,Tottenham Hotspur,MF,age 27,n/a,184.8608415939113,Right,2026-01-01,30600000.0
Ollie Watkins,Aston Villa,FW,age 28,n/a,177.75836684810187,Right,2025-01-01,151900000.0
Martin Odegaard,Arsenal,MF,age 26,n/a,193.02426181218627,Left,2027-01-01,43000000.0
Rodri,Manchester City,MF,age 28,n/a,173.84033487980147,Right,2025-01-01,65600000.0
William Saliba,Arsenal,DF,age 23,n/a,170.528700408411,Right,2027-01-01,38500000.0
Trent Alexander-Arnold,Liverpool,DF,age 26,n/a,171.3345483156794,Right,2025-01-01,47900000.0
Phil Foden,Manchester City,MF,age 24,n/a,187.01786316998766,Left,2028-01-01,114600000.0
Marcus Rashford,Manchester United,FW,age 27,n/a,182.61315592555576,Right,2026-01-01,70900000.0
Jarrod Bowen,West Ham United,FW,age 27,n/a,191.27829067055515,Right,2027-01-01,160000000.0
Bernardo Silva,Manchester City,MF,age 30,n/a,175.9186217776099,Right,2025-01-01,49000000.0
